"Fecha Retiro","Iniciativa","Cod. Serial","Vintage Inicial","Vintage Final","Año absorción","Cod. Seriales Entregados","Destinación","Usuario Final","Nit Usuario Final","Sujeto Pasivo","Nit Sujeto Pasivo","TCO2e Entregadas"
"17/01/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-16959-16988","Compensacion voluntaria","METALPAR S.A.S.","800141734-4","METALPAR S.A.S.","800141734-4","30"
"15/01/2025","Proyecto Forestal Caquetá Renace","COLCX-14-0038-2018","9/15/2012","9/10/2022","2018","COLCX-14-0038-2018-275-359","Compensacion voluntaria","MEGAMALL-CENTRO COMERCIAL","900250796-0","MEGAMALL-CENTRO COMERCIAL","900250796-0","85"
"15/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-115096-165095","Impuesto al Carbono","PETROLEOS DEL MILENIO SAS","819001667-8","PETROLEOS DEL MILENIO SAS","819001667-8","50000"
"14/01/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2022","8/29/2019","5/31/2023","2022","COLCX-01-0028-2022-48673-49179","Impuesto al Carbono","GBUSES","900358864-9","PETROLEOS DEL MILENIO SAS","819001667-8","507"
"14/01/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2022","8/29/2019","5/31/2023","2022","COLCX-01-0028-2022-47583-48672","Impuesto al Carbono","GMOVIL SAS","900364704-3","PETROLEOS DEL MILENIO SAS","819001667-8","1090"
"14/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-105342-115095","Impuesto al Carbono","REFINERIA DE CARTAGENA S.A.S","900112515-7","DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS","901160786-4","9754"
"14/01/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177838-178047","Compensacion voluntaria","AGUAS DE BUGA S.A. E.S.P","815001629-3","AGUAS DE BUGA S.A. E.S.P","815001629-3","210"
"14/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-101321-105341","Impuesto al Carbono","Empresa Aérea de Servicios y Facilitación Logística Integral S.A.","900088915-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","4021"
"14/01/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2022","8/29/2019","5/31/2023","2022","COLCX-01-0028-2022-46924-47582","Impuesto al Carbono","TRACTOCARGA SAS","800105213-6","PRIMAX COLOMBIA SA","860002554-8","659"
"13/01/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-97393-97798","Impuesto al Carbono","INGENIO CARMELITA","891900196-1","PRIMAX COLOMBIA SA","860002554-8","406"
"13/01/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177749-177837","Impuesto al Carbono","ALIMENTOS CÁRNICOS S.A.S.","890304130-4","PRIMAX COLOMBIA SA","860002554-8","89"
"13/01/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177667-177748","Impuesto al Carbono","SERVICIO AEREO DE CAPURGANA - SEARCA S.A","800180943-3","CHEVRON PETROLEUM COMPANY","860005223-9","82"
"10/01/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177450-177666","Compensacion voluntaria","ROBINFOOD COLOMBIA S.A.S.","901131317-1","ROBINFOOD COLOMBIA S.A.S.","901131317-1","217"
"10/01/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177420-177449","Impuesto al Carbono","SERVICIO AEREO DE CAPURGANA - SEARCA S.A","800180943-3","CHEVRON PETROLEUM COMPANY","860005223-9","30"
"10/01/2025","Proyecto forestal núcleo Vichada - Meta Co2cero","COLCX-14-0010-2020","6/1/2008","1/19/2023","2020","COLCX-14-0010-2020-169541-171275","Impuesto al Carbono","ANTIOQUEÑA DE COMBUSTIBLES SAS","900310074-1","ZEUSS SAS","811043174-1","1735"
"08/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-100490-101320","Impuesto al Carbono","INVERSIONES LUMALI SAS","860061579-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","831"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-100281-100489","Impuesto al Carbono","Arriba Grupo Empresarial","901522954-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","209"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-099782-100280","Impuesto al Carbono","Cooperativa de transportadores  de servicio urbano del Tolima","890700190-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","499"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-98966-99781","Impuesto al Carbono","Luz Marina Rico Narvaez","38.258.526-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","816"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-98757-98965","Impuesto al Carbono","Almara Grupo Empresarial","901531184-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","209"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-97743-98756","Impuesto al Carbono","Combustibles del Manacacias ","901512169-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","1014"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-97307-97742","Impuesto al Carbono","Alianza JV&D SAS","901214103-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","436"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-96787-97306","Impuesto al Carbono","Estación de servicios montecarlos","800074272-6","ORGANIZACIÓN TERPEL SA","830095213-0 ","520"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-96662-96786","Impuesto al Carbono","Roberto Parra Zua","86.052.727-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","125"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-95821-96661","Impuesto al Carbono","Eida Zua de Parra","41.698.241-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","841"
"07/01/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-90604-95820","Impuesto al Carbono","Movilgas Ltda","900045328-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","5217"
"03/01/2025","Proyecto forestal núcleo Vichada - Meta Co2cero","COLCX-14-0010-2020","6/1/2008","1/19/2023","2020","COLCX-14-0010-2020-160631-169540","Impuesto al Carbono","PLUS + ENERGY S.A.S","901065873-0","PLUS + ENERGY S.A.S","901065873-0","8910"
"03/01/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-96820-97392","Impuesto al Carbono","CEMEX TRANSPORTES DE COLOMBIA SA","830078000-7","PRIMAX COLOMBIA SA","860002554-8","573"
"03/01/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-96693-96819","Impuesto al Carbono","CEMEX TRANSPORTES DE COLOMBIA SA","830078000-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","127"
"03/01/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-96411-96692","Impuesto al Carbono","CEMEX COLOMBIA SA","860002523-1","PRIMAX COLOMBIA SA","860002554-8","282"
"03/01/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-96037-96410","Impuesto al Carbono","CEMEX COLOMBIA SA","860002523-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","374"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177406-177419","Compensacion voluntaria","UNION TEMPORAL  METROPOLITANO  PORVENIR","901781400-1","UNION TEMPORAL  METROPOLITANO  PORVENIR","901781400-1","14"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177403-177405","Compensacion voluntaria"," CONCRETOS EL RUBI  SAS","830117406-1"," CONCRETOS EL RUBI  SAS","830117406-1","3"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177396-177402","Compensacion voluntaria","ARANJUEZ  INVERSIONES SAS","901460762-5","ARANJUEZ  INVERSIONES SAS","901460762-5","7"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177392-177395","Compensacion voluntaria","HBS CONCRETOS","901263898-3","HBS CONCRETOS","901263898-3","4"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177381-177391","Compensacion voluntaria","CONCRETOS Y  AGREGADOS DEL  SUR SAS","901232360-0","CONCRETOS Y  AGREGADOS DEL  SUR SAS","901232360-0","11"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177373-177380","Compensacion voluntaria","INVERSORA  FURATENA S.A.S.","900030373-5","INVERSORA  FURATENA S.A.S.","900030373-5","8"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177357-177372","Compensacion voluntaria","GRAVAS Y  CONCRETOS S A","830049948-1","GRAVAS Y  CONCRETOS S A","830049948-1","16"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177349-177356","Compensacion voluntaria","GRAVAS Y  CONCRETOS S A","830049948-1","GRAVAS Y  CONCRETOS S A","830049948-1","8"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177343-177348","Compensacion voluntaria","ORGANIZACION  EDYFICA S.A.","900098143-0","ORGANIZACION  EDYFICA S.A.","900098143-0","6"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177282-177342","Compensacion voluntaria","RIBERA CAMPESTRE SAS","901358467-1","RIBERA CAMPESTRE SAS","901358467-1","61"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177278-177281","Compensacion voluntaria","DISEÑOS Y  CONSTRUCCIONES DYCO  SAS","830139876-4","DISEÑOS Y  CONSTRUCCIONES DYCO  SAS","830139876-4","4"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177275-177277","Compensacion voluntaria","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","3"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177258-177274","Compensacion voluntaria","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","17"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177244-177257","Compensacion voluntaria","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","ALIANZA FIDUCIARIA  S.A. FIDEICOMISOS","830053812-2","14"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177237-177243","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","7"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177218-177236","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","19"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177210-177217","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","8"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177196-177209","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","14"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177193-177195","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","3"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-177057-177192","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","136"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176990-177056","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","67"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176976-176989","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","14"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176943-176975","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","33"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176906-176942","Compensacion voluntaria","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","CONSTRUCTORA  CAPITAL BOGOTA SAS","900192711-6","37"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176893-176905","Compensacion voluntaria"," PROMOTORA ALTOS  DE PLAN PAREJO S.A.S.","900472545-1"," PROMOTORA ALTOS  DE PLAN PAREJO S.A.S.","900472545-1","13"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176867-176892","Compensacion voluntaria","UNION TEMPORAL PTAR EL DOVIO","901661469-4","UNION TEMPORAL PTAR EL DOVIO","901661469-4","26"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176866-176866","Compensacion voluntaria","CONSTRUCTORA  INTEGRAR SAS","900968283-7","CONSTRUCTORA  INTEGRAR SAS","900968283-7","1"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176843-176865","Compensacion voluntaria","G KOI SAS","900739470-6","G KOI SAS","900739470-6","23"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176790-176842","Compensacion voluntaria","CONCONCRETO  PROYECTOS SAS","901511199-8","CONCONCRETO  PROYECTOS SAS","901511199-8","53"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176651-176789","Compensacion voluntaria","CADAVID  ARQUITECTOS SAS","900715730-2","CADAVID  ARQUITECTOS SAS","900715730-2","139"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176649-176650","Compensacion voluntaria","AMBIENTTI  CONSTRUCTORA  INMOBILIARIA","830060858-1","AMBIENTTI  CONSTRUCTORA  INMOBILIARIA","830060858-1","2"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176629-176648","Compensacion voluntaria","PEDRO C GOMEZ  CONSTRUCTORA  S.A.S","900069348-1","PEDRO C GOMEZ  CONSTRUCTORA  S.A.S","900069348-1","20"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176612-176628","Compensacion voluntaria","GRUPO CONSTRUCTOR  KAPITAL SAS","900786891-3","GRUPO CONSTRUCTOR  KAPITAL SAS","900786891-3","17"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176608-176611","Compensacion voluntaria","CONSTRUCTORA  SOLANILLAS SAS","805016128-4","CONSTRUCTORA  SOLANILLAS SAS","805016128-4","4"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176605-176607","Compensacion voluntaria","OTACC SA","890201201-6","OTACC SA","890201201-6","3"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176579-176604","Compensacion voluntaria","HABITARE ESPACIOS SAS","901532589-7","HABITARE ESPACIOS SAS","901532589-7","26"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176577-176578","Compensacion voluntaria","FUNDACION UNIVERSITARIA DE CIENCIAS-PROYECTO AULAS 2 FUCS","860051853-4","FUNDACION UNIVERSITARIA DE CIENCIAS-PROYECTO AULAS 2 FUCS","860051853-4","2"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176574-176576","Compensacion voluntaria","FUNDACION UNIVERSITARIA DE CIENCIAS-PROYECTO AULAS 2 FUCS","860051853-4","FUNDACION UNIVERSITARIA DE CIENCIAS-PROYECTO AULAS 2 FUCS","860051853-4","3"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176572-176573","Compensacion voluntaria","CONSTRUCTORA SESTRAL SA-EDIFICIO 9 78","800210871-1","CONSTRUCTORA SESTRAL SA-EDIFICIO 9 78","800210871-1","2"
"30/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176483-176571","Compensacion voluntaria","CONSTRUCTORA SESTRAL SA-EDIFICIO 9 78","800210871-1","CONSTRUCTORA SESTRAL SA-EDIFICIO 9 78","800210871-1","89"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-95814-96036","Impuesto al Carbono","COLTUGS SAS","900485260-4","PRIMAX COLOMBIA SA","860002554-8","223"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94942-95813","Impuesto al Carbono","COLTUGS SAS","900485260-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","872"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94733-94941","Impuesto al Carbono","EQUIRENT VEHICULOS Y MAQUINARIA","901253015-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","209"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94445-94732","Impuesto al Carbono","EQUIRENT SA","800204462-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","288"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94442-94444","Impuesto al Carbono","EQUIRENT BLINDADOS","900248356-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","3"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94205-94441","Impuesto al Carbono","INVERSIONES GLP SAS ESP","900335279-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","237"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-94048-94204","Impuesto al Carbono","BIMBO DE COLOMBIA S.A.","830002366-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","157"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-93987-94047","Impuesto al Carbono","IMBOCAR SAS","	800185379-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","61"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-93809-93986","Impuesto al Carbono","TAGA LOGISTICS SAS","901196694-0","CHEVRON PETROLEUM COMPANY","860005223-9","178"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-93716-93808","Impuesto al Carbono","COMERCIAL NUTRESA S.A.S.","900341086-0","PRIMAX COLOMBIA SA","860002554-8","93"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-93688-93715","Impuesto al Carbono","NOVAVENTA S.A.S","811025289-1","PRIMAX COLOMBIA SA","860002554-8","28"
"27/12/2024","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-93349-93687","Impuesto al Carbono","OPPERAR COLOMBIA S.A.S.","900743592-1","PRIMAX COLOMBIA SA","860002554-8","339"
"27/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176383-176482","Compensacion voluntaria","COLVISEG  COLOMBIANA DE  VIGILANCIA Y  SEGURIDAD LTDA","860090721-7","COLVISEG  COLOMBIANA DE  VIGILANCIA Y  SEGURIDAD LTDA","860090721-7","100"
"27/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176293-176382","Compensacion voluntaria","PETROMOVIL DE  COLOMBIA S.A.S.","900233700-2","PETROMOVIL DE  COLOMBIA S.A.S.","900233700-2","90"
"27/12/2024","Proyecto Forestal Caquetá Renace","COLCX-14-0038-2020","9/15/2012","9/10/2022","2020","COLCX-14-0038-2020-095-266","Compensacion voluntaria","INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ ICETEX","899999035-7","INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ ICETEX","899999035-7","172"
"23/12/2024","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-90485-90603","Impuesto al Carbono","UNIÓN ANDINA DE  TRANSPORTES SAS","860062581-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","119"
"23/12/2024","Proyecto Forestal Caquetá Renace","COLCX-14-0038-2018","9/15/2012","9/10/2022","2018","COLCX-14-0038-2018-274-274","Compensacion voluntaria"," SOLUTIONS GROUP S A S","830084038-0"," SOLUTIONS GROUP S A S","830084038-0","1"
"23/12/2024","Proyecto Forestal Caquetá Renace","COLCX-14-0038-2019","9/15/2012","9/10/2022","2019","COLCX-14-0038-2019-3823-3826","Compensacion voluntaria"," SOLUTIONS GROUP S A S","830084038-0"," SOLUTIONS GROUP S A S","830084038-0","4"
"19/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-176231-176292","Compensacion voluntaria","ATP INGENIERIA SAS","813000008-8","ATP INGENIERIA SAS","813000008-8","62"
"19/12/2024","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-175695-176230","Compensacion voluntaria","CONSORCIO VIAL MHC  056","901442945-1","CONSORCIO VIAL MHC  056","901442945-1","536"
