Fecha de retiro;Proyecto;Año;Cod. Vintage;Cod. COLCERs retirados;Propósito del retiro;Usuario final;Sujeto pasivo;COLCERs retirados
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-20594-21004;Impuesto al Carbono;890.908.096-4 - INVERSIONES FLORENCIA SA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;411
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-21005-21057;Impuesto al Carbono;890.400.442-8 - UNITRANSCO S.A.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;53
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-21058-21137;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;80
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-21138-21454;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;811.043.174-1 - ZEUSS SAS;317
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-21455-21911;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;457
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-21912-22118;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;207
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-22119-22612;Impuesto al Carbono;900.814.383-4 - INVERSIONES DITAIRES SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;494
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-22613-24312;Impuesto al Carbono;900.310.074-1 - ANTIOQUEÑA DE COMBUSTIBLES SAS;811.043.174-1 - ZEUSS SAS;1700
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-24313-24525;Impuesto al Carbono;830.504.050-3 - TALLERES OCCIDENTAL SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;213
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-01-94;Impuesto al Carbono;890.400.442-8 - UNITRANSCO S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;94
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-095-269;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;175
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-270-666;Impuesto al Carbono;811.003.004-5 - INVERSIONES SIDERENSE SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;397
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-0667-1815;Impuesto al Carbono;890.906.033-1 - COOPERATIVA DE TRANSPORTADORES SAN ANTONIO - COOTRASANA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1149
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-1816-3977;Impuesto al Carbono;813.004.069-5 - INVERSIONES COOMOTOR S.A.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;2162
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-3978-4205;Impuesto al Carbono;900.013.269-5 - BUS BENZ SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;228
2024-12-02 0:00:00;Proyecto Forestal CO2Cero Caribe;2022;COLCX-14-0006-2022;COLCX-14-0006-2022-4206-4945;Impuesto al Carbono;901.561.156-5 - INVERSIONES PARQUE OLAYA SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;740
2024-12-02 0:00:00;CARBONO IG FARMS;2022;COLCX-14-0003-2022;COLCX-14-0003-2022-7993-7997;Compensación voluntaria;846.003.828-4 - SERVICIOS CASMOL LIMITADA;846.003.828-4 - SERVICIOS CASMOL LIMITADA;5
2024-11-28 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-35102-35229;Compensación voluntaria;800.168.948-0 - Macecofar Cia Ltda BIC;800.168.948-0 - Macecofar Cia Ltda BIC;128
2024-11-27 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-120055-120062;Compensación voluntaria;900.771.059-6 - IMI INGENIERIA MONTAJES Y MANTENIMIENTO INDUSTRIAL S.A.S;900.771.059-6 - IMI INGENIERIA MONTAJES Y MANTENIMIENTO INDUSTRIAL S.A.S;8
2024-11-21 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2354823-2376490;Impuesto al Carbono;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;21668
2024-11-21 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-34885-35100;Compensación voluntaria;860.002.400-2 - LA PREVISORA S A COMPAÑIA DE SEGUROS;860.002.400-2 - LA PREVISORA S A COMPAÑIA DE SEGUROS;216
2024-11-21 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-35101-35101;Compensación voluntaria;900.365.778-2 - GRANO DE ARENA S.A.S.;900.365.778-2 - GRANO DE ARENA S.A.S.;1
2024-11-19 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-32706-34869;Compensación voluntaria;860.075.558-1 - UNIVERSIDAD DE LA SABANA;860.075.558-1 - UNIVERSIDAD DE LA SABANA;2164
2024-11-19 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-34870-34884;Compensación voluntaria;800.188.557-1 - ALMACENADORES Y COMERCIO EXTERIOR S.A.S;800.188.557-1 - ALMACENADORES Y COMERCIO EXTERIOR S.A.S;15
2024-11-19 0:00:00;Carbono La Tabaca - AGI;2017;COLCX-14-0020-2017;COLCX-14-0020-2017-1123-1127;Compensación voluntaria;900.556.100-1 - AGI Ambiental S.A.S.;900.556.100-1 - AGI Ambiental S.A.S.;5
2024-11-18 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-32184-32672;Compensación voluntaria;860.078.643-1 - POLITECNICO GRANCOLOMBIANO;860.078.643-1 - POLITECNICO GRANCOLOMBIANO;489
2024-11-18 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-32673-32705;Compensación voluntaria;860.000.018-2 - Agencia de Viajes y turismo Aviatur SAS;860.000.018-2 - Agencia de Viajes y turismo Aviatur SAS;33
2024-11-18 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2350174-2354822;Impuesto al Carbono;819.001.667-8 - PETROLEOS DEL MILENIO SAS;819.001.667-8 - PETROLEOS DEL MILENIO SAS;4649
2024-11-15 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2344736-2350173;Impuesto al Carbono;830.112.215-9 - WORLD FUEL SERVICES COMPANY;830.112.215-9 - WORLD FUEL SERVICES COMPANY;5438
2024-11-14 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-31379-31533;Compensación voluntaria;860.013.779-5 - ASOCIACION PROFAMILIA;860.013.779-5 - ASOCIACION PROFAMILIA;155
2024-11-14 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-31534-31712;Compensación voluntaria;860.013.779-5 - ASOCIACION PROFAMILIA;860.013.779-5 - ASOCIACION PROFAMILIA;179
2024-11-14 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-31713-31822;Compensación voluntaria;860.013.779-5 - ASOCIACION PROFAMILIA;860.013.779-5 - ASOCIACION PROFAMILIA;110
2024-11-14 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-31823-32112;Compensación voluntaria;860.013.779-5 - ASOCIACION PROFAMILIA;860.013.779-5 - ASOCIACION PROFAMILIA;290
2024-11-14 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2018;COLCX-14-0040-2018;COLCX-14-0040-2018-32113-32183;Compensación voluntaria;813.005.241-0 - INCINERADOS DEL HUILA SAS E.S.P - INCIHUILA S.A.S E.S.P;813.005.241-0 - INCINERADOS DEL HUILA SAS E.S.P - INCIHUILA S.A.S E.S.P;71
2024-11-14 0:00:00;CARBONO IG FARMS;2022;COLCX-14-0003-2022;COLCX-14-0003-2022-0327-7992;Compensación voluntaria;900.388.839-2 - HADA INTERNATIONAL S.A;900.388.839-2 - HADA INTERNATIONAL S.A;7666
2024-11-14 0:00:00;Proyecto Forestal CO2Cero Caribe;2020;COLCX-14-0006-2020;COLCX-14-0006-2020-18557-27784;Impuesto al Carbono;901.065.873-0 - PLUS + ENERGY S.A.S;901.065.873-0 - PLUS + ENERGY S.A.S;9228
2024-11-13 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2342886-2344735;Impuesto al Carbono;800.203.642-2 - SAAM TOWAGE;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1850
2024-11-08 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2339843-2340962;Impuesto al Carbono;800.185.306-4 - COLVANES SAS;860.005.223-9 - CHEVRON PETROLEUM COMPANY;1120
2024-11-08 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2340963-2341698;Impuesto al Carbono;860.040.576-1 - COLTANQUES SAS;900.047.822-5 - PETROBRAS COLOMBIA COMBUSTIBLES SA;736
2024-11-08 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2341699-2342006;Impuesto al Carbono;860.040.576-1 - COLTANQUES SAS;860.005.223-9 - CHEVRON PETROLEUM COMPANY;308
2024-11-08 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2342007-2342654;Impuesto al Carbono;860.040.576-1 - COLTANQUES SAS;860.005.223-9 - CHEVRON PETROLEUM COMPANY;648
2024-11-08 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2342655-2342885;Impuesto al Carbono;860.040.576-1 - COLTANQUES SAS;819.001.667-8 - PETROLEOS DEL MILENIO SAS;231
2024-11-07 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2339803-2339842;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;40
2024-11-07 0:00:00;Carbono La Tabaca - AGI;2017;COLCX-14-0020-2017;COLCX-14-0020-2017-1121-1122;Compensación voluntaria;890.200.110-1 - CAMARA DE COMERCIO DE BUCARAMANGA;890.200.110-1 - CAMARA DE COMERCIO DE BUCARAMANGA;2
2024-11-01 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2339703-2339802;Compensación voluntaria;890.926.257-1 - INMEL INGENIERIA S.A.S;890.926.257-1 - INMEL INGENIERIA S.A.S;100
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2333235-2333915;Impuesto al Carbono;21.482.763 - LILIANA MONTOYA CLAVIJO;830.095.213-0 - ORGANIZACIÓN TERPEL SA;681
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2333916-2333957;Impuesto al Carbono;890.400.442-8 - UNITRANSCO S.A.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;42
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2333958-2334046;Impuesto al Carbono;890.400.442-8 - UNITRANSCO S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;89
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2334047-2334122;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;76
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2334123-2334273;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;151
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2334274-2334463;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;190
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2334464-2334800;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;860.002.554-8 - PRIMAX COLOMBIA SA;337
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2334801-2335294;Impuesto al Carbono;900.814.383-4 - INVERSIONES DITAIRES SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;494
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2335295-2335568;Impuesto al Carbono;900.335.279-0 - INVERSIONES GLP SAS ESP;830.095.213-0 - ORGANIZACIÓN TERPEL SA;274
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2335569-2335796;Impuesto al Carbono;900.013.269-5 - BUS BENZ SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;228
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2335797-2335824;Impuesto al Carbono;811.025.289-1 - NOVAVENTA S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;28
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2335825-2335981;Impuesto al Carbono;830.002.366-0 - BIMBO DE COLOMBIA S.A.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;157
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2335982-2336042;Impuesto al Carbono;800.185.379-1 - IMBOCAR SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;61
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2336043-2336852;Impuesto al Carbono;901.561.156-5 - INVERSIONES PARQUE OLAYA SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;810
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2336853-2337030;Impuesto al Carbono;901.196.694-0 - TAGA LOGISTICS SAS;860.005.223-9 - CHEVRON PETROLEUM COMPANY;178
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2337031-2337233;Impuesto al Carbono;860.040.576-1 - COLTANQUES SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;203
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2337234-2337906;Impuesto al Carbono;900.310.074-1 - ANTIOQUEÑA DE COMBUSTIBLES SAS;811.043.174-1 - ZEUSS SAS;673
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2337907-2338119;Impuesto al Carbono;830.504.050-3 - TALLERES OCCIDENTAL SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;213
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2338120-2338156;Impuesto al Carbono;900.341.086-0 - COMERCIAL NUTRESA S.A.S.;860.002.554-8 - PRIMAX COLOMBIA SA;37
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2338157-2338251;Impuesto al Carbono;900.248.356-7 - EQUIRENT BLINDADOS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;95
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2338252-2338486;Impuesto al Carbono;800.204.462-8 - EQUIRENT SA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;235
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2338487-2338656;Impuesto al Carbono;901.253.015-4 - EQUIRENT VEHICULOS Y MAQUINARIA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;170
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2338657-2339102;Impuesto al Carbono;900.485.260-4 - COLTUGS SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;446
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2339103-2339305;Impuesto al Carbono;900.485.260-4 - COLTUGS SAS;860.002.554-8 - PRIMAX COLOMBIA SA;203
2024-10-30 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2339306-2339702;Impuesto al Carbono;811.003.004-5 - INVERSIONES SIDERENSE SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;397
2024-10-25 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2332834-2333134;Compensación voluntaria;890.405.519-9 - HB y CIA S.A.S.;890.405.519-9 - HB y CIA S.A.S.;301
2024-10-25 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2333135-2333234;Compensación voluntaria;900.360.001-6 - INNERGY S.A.S;900.360.001-6 - INNERGY S.A.S;100
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217832-2217863;Compensación voluntaria;900.267.064-2 - INVERSIONES AZALUD S.A.S;900.267.064-2 - INVERSIONES AZALUD S.A.S;32
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217864-2217864;Compensación voluntaria;900.157.376-3 - BRAND HAUS S.A.S. BIC;900.157.376-3 - BRAND HAUS S.A.S. BIC;1
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217865-2217865;Compensación voluntaria;900.157.376-3 - BRAND HAUS S.A.S. BIC;900.157.376-3 - BRAND HAUS S.A.S. BIC;1
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217866-2217867;Compensación voluntaria;900.157.376-3 - BRAND HAUS S.A.S. BIC;900.157.376-3 - BRAND HAUS S.A.S. BIC;2
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217868-2217872;Compensación voluntaria;900.157.376-3 - BRAND HAUS S.A.S. BIC;900.157.376-3 - BRAND HAUS S.A.S. BIC;5
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217873-2217883;Compensación voluntaria;900.157.376-3 - BRAND HAUS S.A.S. BIC;900.157.376-3 - BRAND HAUS S.A.S. BIC;11
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2217884-2218058;Compensación voluntaria;811.007.280-1 - SERACIS LTDA;811.007.280-1 - SERACIS LTDA;175
2024-10-22 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2218059-2332833;Impuesto al Carbono;860.002.554-8 - PRIMAX COLOMBIA SA;860.002.554-8 - PRIMAX COLOMBIA SA;114775
2024-10-18 10:05:21;Planeta Agradecido con el Resguardo Indígena CMARI;2019;COLCX-14-0040-2019;COLCX-14-0040-2019-2198901-2217831;Impuesto al Carbono;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;18931
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2019;COLCX-14-0006-2019;COLCX-14-0006-2019-31252-32220;Impuesto al Carbono;901.619.445-0 - MMEJIA S.A.S. - EDS LA ACUARELA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;969
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2019;COLCX-14-0006-2019;COLCX-14-0006-2019-32221-33979;Impuesto al Carbono;900.164.098-1 - ROBENHEIM Y CIA SAS - EDS AUTOMOTRIZ GUADUALES;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1759
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2019;COLCX-14-0006-2019;COLCX-14-0006-2019-33980-35238;Impuesto al Carbono;901.310.208-3 -  ROJAS & JORDAN SAS -  EDS TERPEL TERMINAL  DE CARGA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1259
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2019;COLCX-14-0006-2019;COLCX-14-0006-2019-35239-36665;Impuesto al Carbono;900.612.539-9 - LOGISTICA Y  OPERACIONES DE  COMBUSTIBLES SAS -  EDS TERPEL LA RAYA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1427
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2019;COLCX-14-0006-2019;COLCX-14-0006-2019-36666-37847;Impuesto al Carbono;900.860.583-6 - COLOMBIA COLORS  SAS - EDS TERPEL LAS  PALMAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1182
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-09-85;Impuesto al Carbono;900.860.583-6 - COLOMBIA COLORS  SAS - EDS TERPEL LAS  PALMAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;77
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-086-709;Impuesto al Carbono;901.619.527-6 - GIRALPA SAS - EDS  TERPEL CENCAR;830.095.213-0 - ORGANIZACIÓN TERPEL SA;624
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-0710-1708;Impuesto al Carbono;901.109.396-1 - AF KAIZEN SOCIETY SAS  - EDS TERPEL MENGA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;999
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-1709-4046;Impuesto al Carbono;901.310.017-3 - DISIL SERVICES SAS -  EDS TERPEL COGUA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;2338
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-4047-6220;Impuesto al Carbono;900.911.074-9 - AYALA  DISTRIBUCCIONES SAS -  EDS TERPEL DAGOTA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;2174
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-6221-7650;Impuesto al Carbono;900.792.854-5 - CAMVA SAS - EDS  INGENIO;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1430
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-7651-9412;Impuesto al Carbono;890.207.572-0 -  CETER ( COOPERATIVA  MULTIACTIVA Y DE  TRANSPORTE DE  SANTANDER ) - EDS LA  PAZ ;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1762
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-09413-10239;Impuesto al Carbono;901.776.527-8 - BIVAL SAS - EDS EL  CARMEN;830.095.213-0 - ORGANIZACIÓN TERPEL SA;827
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-10240-10454;Impuesto al Carbono;901.778.976-0 - DISTRIBUCIONES  MARFERE SAS - EDS  VILLANUEVA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;215
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-10455-11476;Impuesto al Carbono;901.778.976-0 - DISTRIBUCIONES  MARFERE SAS - EDS  VILLANUEVA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1022
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-11477-12916;Impuesto al Carbono;901.499.321-1 - INVERSIONES SOLANO  URIBE SAS - EDS  VALLEMIO;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1440
2024-10-18 0:00:00;Proyecto Forestal CO2Cero Caribe;2021;COLCX-14-0006-2021;COLCX-14-0006-2021-12917-13800;Impuesto al Carbono;901.777.633-5 - OSOCA ENERGY SAS -  EDS LA 50;830.095.213-0 - ORGANIZACIÓN TERPEL SA;884
